(Sample number109)  iteration number: 512, Error = 0.00355259
(Sample number110)  iteration number: 512, Error = 0.00838377
(Sample number111)  iteration number: 512, Error = 0.494592
(Sample number112)  iteration number: 512, Error = 0.00283159
(Sample number113)  iteration number: 512, Error = 0.00291588
(Sample number114)  iteration number: 512, Error = 0.00236358
(Sample number115)  iteration number: 512, Error = 0.00344579
(Sample number116)  iteration number: 512, Error = 0.00428938
(Sample number117)  iteration number: 512, Error = 0.00596865
(Sample number118)  iteration number: 512, Error = 0.00452624
(Sample number119)  iteration number: 512, Error = 0.00381986
(Sample number120)  iteration number: 512, Error = 0.00190378
(Sample number121)  iteration number: 512, Error = 0.00463353
(Sample number122)  iteration number: 512, Error = 0.00248142
(Sample number123)  iteration number: 512, Error = 0.00335919
(Sample number124)  iteration number: 512, Error = 0.00492269
(Sample number125)  iteration number: 512, Error = 0.00296662
(Sample number126)  iteration number: 512, Error = 0.00536932
(Sample number127)  iteration number: 512, Error = 0.0037702
(Sample number128)  iteration number: 512, Error = 0.00476704
(Sample number129)  iteration number: 512, Error = 0.00398407
(Sample number130)  iteration number: 512, Error = 0.00331874
(Sample number131)  iteration number: 512, Error = 0.00424585
(Sample number132)  iteration number: 512, Error = 0.00456066
(Sample number133)  iteration number: 512, Error = 0.014581
(Sample number134)  iteration number: 512, Error = 0.00423231
(Sample number135)  iteration number: 512, Error = 0.503825
(Sample number136)  iteration number: 512, Error = 0.00318015
(Sample number137)  iteration number: 512, Error = 0.00188755
(Sample number138)  iteration number: 512, Error = 0.00503157
(Sample number139)  iteration number: 512, Error = 0.352781
(Sample number140)  iteration number: 512, Error = 0.00332612
(Sample number141)  iteration number: 512, Error = 0.00878214
(Sample number142)  iteration number: 512, Error = 0.00300187
(Sample number143)  iteration number: 512, Error = 0.00231396
(Sample number144)  iteration number: 512, Error = 0.00395514
(Sample number145)  iteration number: 512, Error = 0.00369827
(Sample number146)  iteration number: 512, Error = 0.00508873
(Sample number147)  iteration number: 512, Error = 0.00323464
(Sample number148)  iteration number: 512, Error = 0.0043739
(Sample number149)  iteration number: 512, Error = 0.00518019
(Sample number150)  iteration number: 512, Error = 0.0033363
(Sample number151)  iteration number: 512, Error = 0.00371879
(Sample number152)  iteration number: 512, Error = 0.00293619
(Sample number153)  iteration number: 512, Error = 0.00342451
(Sample number154)  iteration number: 512, Error = 0.00344968
(Sample number155)  iteration number: 512, Error = 0.0030794
(Sample number156)  iteration number: 512, Error = 0.00207205
(Sample number157)  iteration number: 512, Error = 0.00248998
(Sample number158)  iteration number: 512, Error = 0.0028941
(Sample number159)  iteration number: 512, Error = 0.00522481
(Sample number160)  iteration number: 512, Error = 0.00462327
(Sample number161)  iteration number: 512, Error = 0.00610602
(Sample number162)  iteration number: 512, Error = 0.00389167
(Sample number163)  iteration number: 512, Error = 0.00346602
(Sample number164)  iteration number: 512, Error = 0.00363502
(Sample number165)  iteration number: 512, Error = 0.0020036
(Sample number166)  iteration number: 512, Error = 0.00297407
(Sample number167)  iteration number: 512, Error = 0.00198724
(Sample number168)  iteration number: 512, Error = 0.00250371
(Sample number169)  iteration number: 512, Error = 0.490893
(Sample number170)  iteration number: 512, Error = 0.00191334
(Sample number171)  iteration number: 512, Error = 0.00217165
(Sample number172)  iteration number: 512, Error = 0.00278584
(Sample number173)  iteration number: 512, Error = 0.0017897
(Sample number174)  iteration number: 512, Error = 0.00478262
(Sample number175)  iteration number: 512, Error = 0.0038859
(Sample number176)  iteration number: 512, Error = 0.00380192
(Sample number177)  iteration number: 512, Error = 0.00215691
(Sample number178)  iteration number: 512, Error = 0.00334107
(Sample number179)  iteration number: 512, Error = 0.00387132
(Sample number180)  iteration number: 512, Error = 0.002766
(Sample number181)  iteration number: 512, Error = 0.00318388
(Sample number182)  iteration number: 512, Error = 0.00274269
(Sample number183)  iteration number: 512, Error = 0.493699
(Sample number184)  iteration number: 512, Error = 0.00151227
(Sample number185)  iteration number: 512, Error = 0.00319575
(Sample number186)  iteration number: 512, Error = 0.00315357
(Sample number187)  iteration number: 512, Error = 0.00191414
(Sample number188)  iteration number: 512, Error = 0.00268874
(Sample number189)  iteration number: 512, Error = 0.00359996
(Sample number190)  iteration number: 512, Error = 0.00289027
(Sample number191)  iteration number: 512, Error = 0.00281527
(Sample number192)  iteration number: 512, Error = 0.00466017
(Sample number193)  iteration number: 512, Error = 0.00327705
(Sample number194)  iteration number: 512, Error = 0.00319301
(Sample number195)  iteration number: 512, Error = 0.0031754
(Sample number196)  iteration number: 512, Error = 0.00334154
(Sample number197)  iteration number: 512, Error = 0.00346074
(Sample number198)  iteration number: 512, Error = 0.00330303
(Sample number199)  iteration number: 512, Error = 0.00301586
(Sample number200)  iteration number: 512, Error = 0.00357649
(Sample number201)  iteration number: 512, Error = 0.00469456
(Sample number202)  iteration number: 512, Error = 0.00312583
(Sample number203)  iteration number: 512, Error = 0.0037959
(Sample number204)  iteration number: 512, Error = 0.00226287
(Sample number205)  iteration number: 512, Error = 0.0025976
(Sample number206)  iteration number: 512, Error = 0.0022635
(Sample number207)  iteration number: 512, Error = 0.00230729
(Sample number208)  iteration number: 512, Error = 0.00184078
(Sample number209)  iteration number: 512, Error = 0.00106336
(Sample number210)  iteration number: 512, Error = 0.00238985
(Sample number211)  iteration number: 512, Error = 0.00196434
(Sample number212)  iteration number: 1, Error = 0.000382171
(Sample number213)  iteration number: 512, Error = 0.00288143
(Sample number214)  iteration number: 512, Error = 0.00372254
(Sample number215)  iteration number: 512, Error = 0.00243218
(Sample number216)  iteration number: 512, Error = 0.00284643
(Sample number217)  iteration number: 512, Error = 0.00231707
(Sample number218)  iteration number: 512, Error = 0.00317129
(Sample number219)  iteration number: 512, Error = 0.00321188
(Sample number220)  iteration number: 512, Error = 0.497717
(Sample number221)  iteration number: 512, Error = 0.00262539
(Sample number222)  iteration number: 512, Error = 0.00215212
(Sample number223)  iteration number: 512, Error = 0.00188201
(Sample number224)  iteration number: 512, Error = 0.00240096
(Sample number225)  iteration number: 512, Error = 0.00244115
(Sample number226)  iteration number: 512, Error = 0.0042059
(Sample number227)  iteration number: 512, Error = 0.00355224
