(Sample number163)  iteration number: 512, Error = 0.00371688
(Sample number164)  iteration number: 512, Error = 0.00291225
(Sample number165)  iteration number: 512, Error = 0.0015954
(Sample number166)  iteration number: 512, Error = 0.00226758
(Sample number167)  iteration number: 512, Error = 0.00291281
(Sample number168)  iteration number: 512, Error = 0.00216723
(Sample number169)  iteration number: 512, Error = 0.0237341
(Sample number170)  iteration number: 512, Error = 0.00178799
(Sample number171)  iteration number: 512, Error = 0.00196251
(Sample number172)  iteration number: 512, Error = 0.00184657
(Sample number173)  iteration number: 512, Error = 0.00204474
(Sample number174)  iteration number: 512, Error = 0.00386781
(Sample number175)  iteration number: 512, Error = 0.00318951
(Sample number176)  iteration number: 512, Error = 0.00234265
(Sample number177)  iteration number: 512, Error = 0.00197969
(Sample number178)  iteration number: 512, Error = 0.003184
(Sample number179)  iteration number: 512, Error = 0.003675
(Sample number180)  iteration number: 512, Error = 0.00205083
(Sample number181)  iteration number: 512, Error = 0.00426481
(Sample number182)  iteration number: 512, Error = 0.00272611
(Sample number183)  iteration number: 512, Error = 0.500412
(Sample number184)  iteration number: 512, Error = 0.0012139
(Sample number185)  iteration number: 512, Error = 0.00242598
(Sample number186)  iteration number: 512, Error = 0.00216385
(Sample number187)  iteration number: 512, Error = 0.00160405
(Sample number188)  iteration number: 512, Error = 0.00260289
(Sample number189)  iteration number: 512, Error = 0.00291278
(Sample number190)  iteration number: 512, Error = 0.00223263
(Sample number191)  iteration number: 512, Error = 0.00232059
(Sample number192)  iteration number: 512, Error = 0.00355855
(Sample number193)  iteration number: 512, Error = 0.00199899
(Sample number194)  iteration number: 512, Error = 0.00248436
(Sample number195)  iteration number: 512, Error = 0.00308493
(Sample number196)  iteration number: 512, Error = 0.00306468
(Sample number197)  iteration number: 512, Error = 0.00271547
(Sample number198)  iteration number: 512, Error = 0.00422779
(Sample number199)  iteration number: 512, Error = 0.00217757
(Sample number200)  iteration number: 512, Error = 0.00337865
(Sample number201)  iteration number: 512, Error = 0.00323863
(Sample number202)  iteration number: 512, Error = 0.00349683
(Sample number203)  iteration number: 512, Error = 0.00295146
(Sample number204)  iteration number: 512, Error = 0.00202429
(Sample number205)  iteration number: 512, Error = 0.00268991
(Sample number206)  iteration number: 512, Error = 0.00292848
(Sample number207)  iteration number: 512, Error = 0.00168764
(Sample number208)  iteration number: 512, Error = 0.00167063
(Sample number209)  iteration number: 1, Error = 0.000861364
(Sample number210)  iteration number: 512, Error = 0.00197395
(Sample number211)  iteration number: 512, Error = 0.00255735
(Sample number212)  iteration number: 1, Error = 0.000226871
(Sample number213)  iteration number: 512, Error = 0.00268668
(Sample number214)  iteration number: 512, Error = 0.00303887
(Sample number215)  iteration number: 512, Error = 0.00187942
(Sample number216)  iteration number: 512, Error = 0.0022717
(Sample number217)  iteration number: 512, Error = 0.00210674
(Sample number218)  iteration number: 512, Error = 0.00284106
(Sample number219)  iteration number: 512, Error = 0.00211326
(Sample number220)  iteration number: 512, Error = 0.501471
(Sample number221)  iteration number: 512, Error = 0.00241485
(Sample number222)  iteration number: 512, Error = 0.00177384
(Sample number223)  iteration number: 512, Error = 0.00195371
(Sample number224)  iteration number: 512, Error = 0.00199842
(Sample number225)  iteration number: 512, Error = 0.00507339
(Sample number226)  iteration number: 512, Error = 0.00285968
(Sample number227)  iteration number: 512, Error = 0.00317453
(Sample number228)  iteration number: 512, Error = 0.003125
(Sample number229)  iteration number: 512, Error = 0.00308097
(Sample number230)  iteration number: 512, Error = 0.00219383
(Sample number231)  iteration number: 512, Error = 0.00308602
(Sample number232)  iteration number: 256, Error = 0.000999069
(Sample number233)  iteration number: 512, Error = 0.00369453
(Sample number234)  iteration number: 512, Error = 0.00271939
(Sample number235)  iteration number: 230, Error = 0.000999683
(Sample number236)  iteration number: 512, Error = 0.003077
(Sample number237)  iteration number: 512, Error = 0.00638646
(Sample number238)  iteration number: 512, Error = 0.0027269
(Sample number239)  iteration number: 512, Error = 0.00259871
(Sample number240)  iteration number: 512, Error = 0.00287072
(Sample number241)  iteration number: 512, Error = 0.00296937
(Sample number242)  iteration number: 512, Error = 0.0026347
(Sample number243)  iteration number: 512, Error = 0.00294029
(Sample number244)  iteration number: 512, Error = 0.00256577
(Sample number245)  iteration number: 512, Error = 0.501914
(Sample number246)  iteration number: 512, Error = 0.00156739
(Sample number247)  iteration number: 512, Error = 0.00276629
(Sample number248)  iteration number: 512, Error = 0.00301026
(Sample number249)  iteration number: 512, Error = 0.00224067
(Sample number250)  iteration number: 512, Error = 0.00118962
(Sample number251)  iteration number: 512, Error = 0.00146847
(Sample number252)  iteration number: 512, Error = 0.00202417
(Sample number253)  iteration number: 512, Error = 0.00309134
(Sample number254)  iteration number: 512, Error = 0.00247157
(Sample number255)  iteration number: 512, Error = 0.00158538
(Sample number256)  iteration number: 512, Error = 0.00166363
(Sample number257)  iteration number: 512, Error = 0.0050799
(Sample number258)  iteration number: 512, Error = 0.00250151
(Sample number259)  iteration number: 512, Error = 0.00295175
(Sample number260)  iteration number: 512, Error = 0.0027278
(Sample number261)  iteration number: 512, Error = 0.00253477
